;tweetid;stance;emotions;emotion_intensity
0;1429368200924385281;believe;[0, 0, 0, 0, 0, 1, 1, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.32799999999999996, 0.23399999999999999, 0.39799999999999996]
1;1429784177206038533;ambiguous;[1, 0, 1, 1, 0, 1, 1, 0];[1.266, 0.0, 0.594, 1.297, 0.0, 0.9109999999999999, 0.836, 0.0]
2;1425021853895053323;believe;[0, 1, 0, 1, 1, 1, 1, 1];[0.0, 1.469, 0.0, 1.255, 0.348, 0.7190000000000001, 0.297, 1.321]
3;1425807864191401989;ambiguous;[0, 1, 0, 1, 1, 1, 1, 1];[0.0, 0.38299999999999995, 0.0, 0.664, 0.547, 0.75, 0.21899999999999997, 0.617]
4;1424449284389306372;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
5;1423299313740877829;believe;[0, 0, 0, 1, 1, 0, 0, 0];[0.0, 0.0, 0.0, 0.7450000000000001, 0.706, 0.0, 0.0, 0.0]
6;1552835459062984704;deny;[1, 0, 1, 1, 0, 1, 1, 0];[0.297, 0.0, 0.36700000000000005, 0.636, 0.0, 0.406, 0.45299999999999996, 0.0]
7;1431911601859346433;believe;[0, 1, 0, 0, 0, 0, 1, 1];[0.0, 1.054, 0.0, 0.0, 0.0, 0.0, 0.75, 1.866]
8;1424974747956355074;ambiguous;[0, 0, 0, 1, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.198, 0.39399999999999996, 0.0, 0.0, 0.633]
9;1436079564896284673;believe;[1, 1, 1, 0, 0, 0, 0, 0];[0.8240000000000001, 0.516, 0.469, 0.0, 0.0, 0.0, 0.0, 0.0]
10;1567990593745485824;deny;[1, 0, 1, 0, 0, 0, 0, 0];[0.828, 0.0, 0.695, 0.0, 0.0, 0.0, 0.0, 0.0]
11;1427767400477302786;believe;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.508, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
12;1431279167337902080;believe;[1, 0, 1, 1, 0, 1, 0, 0];[0.9019999999999999, 0.0, 0.391, 0.578, 0.0, 1.266, 0.0, 0.0]
13;1427590798900662276;believe;[1, 0, 0, 1, 0, 1, 0, 1];[0.886, 0.0, 0.0, 1.383, 0.0, 0.75, 0.0, 0.633]
14;1427593550468837377;ambiguous;[0, 1, 0, 1, 1, 0, 0, 1];[0.0, 0.445, 0.0, 0.203, 0.43799999999999994, 0.0, 0.0, 0.586]
15;1589975063335677954;deny;[0, 0, 1, 0, 0, 0, 0, 0];[0.0, 0.0, 0.36700000000000005, 0.0, 0.0, 0.0, 0.0, 0.0]
16;1505716306028515337;deny;[1, 0, 0, 0, 1, 0, 1, 0];[1.699, 0.0, 0.0, 0.0, 0.344, 0.0, 0.578, 0.0]
17;1432119604772425730;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.516, 0.0, 0.0, 0.0, 0.0, 0.0, 0.68]
18;1502131293739356161;deny;[1, 0, 1, 0, 0, 1, 1, 0];[0.297, 0.0, 0.36700000000000005, 0.0, 0.0, 0.406, 0.45299999999999996, 0.0]
19;1421397973884362756;ambiguous;[0, 1, 0, 0, 1, 1, 0, 1];[0.0, 0.38299999999999995, 0.0, 0.0, 1.163, 0.223, 0.0, 0.594]
20;1429334582302855168;ambiguous;[1, 1, 0, 1, 0, 0, 0, 1];[0.6559999999999999, 0.414, 0.0, 1.1560000000000001, 0.0, 0.0, 0.0, 1.0470000000000002]
21;1425938208223858693;believe;[0, 0, 0, 0, 1, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.86, 0.0, 0.0, 0.602]
22;1431257701393256451;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 0.469, 0.0, 0.0, 0.0, 0.0, 0.0, 1.461]
23;1430516249419784197;ambiguous;[0, 1, 0, 1, 0, 0, 0, 0];[0.0, 0.633, 0.0, 0.198, 0.0, 0.0, 0.0, 0.0]
24;1425129144128581634;ambiguous;[0, 0, 0, 1, 1, 1, 0, 1];[0.0, 0.0, 0.0, 0.36, 0.531, 0.43799999999999994, 0.0, 1.274]
25;1424759410811940875;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.198, 0.0, 0.0, 0.0, 0.0]
26;1422615229255491585;ambiguous;[0, 1, 0, 0, 0, 0, 0, 0];[0.0, 0.594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
27;1428138516601442305;believe;[0, 1, 0, 1, 0, 1, 1, 1];[0.0, 0.617, 0.0, 0.7190000000000001, 0.0, 0.6409999999999999, 0.828, 0.586]
28;1424667955032465408;ambiguous;[0, 0, 0, 1, 0, 0, 0, 0];[0.0, 0.0, 0.0, 0.297, 0.0, 0.0, 0.0, 0.0]
29;1430199794027405312;believe;[0, 1, 0, 0, 0, 0, 0, 1];[0.0, 2.564, 0.0, 0.0, 0.0, 0.0, 0.0, 2.78]
30;1423061670079909890;ambiguous;[0, 1, 0, 0, 1, 0, 1, 1];[0.0, 0.8590000000000001, 0.0, 0.0, 1.257, 0.0, 0.625, 0.45299999999999996]
31;1430565228048048134;ambiguous;[1, 1, 1, 1, 0, 1, 1, 0];[0.721, 0.516, 1.1880000000000002, 1.073, 0.0, 0.758, 0.812, 0.0]
32;1427555833555083282;believe;[0, 0, 0, 0, 0, 0, 0, 1];[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.43799999999999994]
